"username","userLink","imgUrls","likesCount","timestamp","message","avatar"
"AnkaraAlev8","https://twitter.com/AnkaraAlev8","[]","","1575915383","0552 335 94 06Ankara  eve otele geliyorum  detaylarim wtsap anlatilmaz yaşanirim ciddi gorusmek isteyenleryazzin bos yapanlar uzakdursun (@ Ankara Esenboğa Havalimanı - @ankaraairport in Ankara, Türkiye) https://www.swarmapp.com/c/cq6ty1JfF4Q ","https://pbs.twimg.com/profile_images/1195327289866772482/VjjFID1I_bigger.jpg"
"betulbuke","https://twitter.com/betulbuke","[]","","1575915382","Oo my #Banksy! Bu Ankara ayazında içimi ısıttın  pic.twitter.com/gvK16Nh9GV","https://pbs.twimg.com/profile_images/910048666597171200/QrM0I936_bigger.jpg"
"muallimee8","https://twitter.com/muallimee8","[]","","1575915374","Ankara #RTEden60binÖgrt","https://pbs.twimg.com/profile_images/1203436182094405633/91ooXuVq_bigger.jpg"
"caglatogan","https://twitter.com/caglatogan","[""https://pbs.twimg.com/media/ELXUvCgX0AIyOS2.jpg""]","","1575915370","Türkiye Kadın Dernekleri Federasyonu (TKDF) ve Çocuk Alanında Çalışan Avukatlar Ağı (ÇAÇAV), babası tarafından Kıbrıs’a kaçırılan 8 yaşındaki kız çocuğu için açılan davaya anne adına müdahil oluyor. Ankara Barosu Gelincik Projesi davaya destek veriyor. #Kıbrısakaçırılançocukpic.twitter.com/1yZs5n5u44","https://pbs.twimg.com/profile_images/1110836871091892224/GWdLGKOj_bigger.png"
"haasbelkader","https://twitter.com/haasbelkader","[]","","1575915361","@Ahbap_Ankara @haluklevent","https://pbs.twimg.com/profile_images/1203072678342606849/Aq3tOy4r_bigger.jpg"
"halillozturk24","https://twitter.com/halillozturk24","[]","","1575915350"," #photooftheday sportotosk @ Ankara, Turkey https://www.instagram.com/p/B53IOPvgTGh/?igshid=iz11dg9blmmg …","https://pbs.twimg.com/profile_images/1167017696044748800/Ijb26gSR_bigger.jpg"
"Yavuzbe95153080","https://twitter.com/Yavuzbe95153080","[]","","1575915347","'Artist' sözü ortalığı karıştırdı! Ankara Büyükşehir Belediyesi Meclisi’nde gerginlik! Yıllatca Ankaralının parasını sokağa attınız utanmadan konuşuyorsunuz! Bırakın ⁦@mansuryavas06⁩ namusuyla çalışsın! İşin show undasınız!!!http://www.hurriyet.com.tr/gundem/artist-sozu-ortaligi-karistirdi-ankara-buyuksehir-belediyesi-meclisinde-gerginlik-41393511 …","https://pbs.twimg.com/profile_images/1165533182051192832/cy3fR93p_bigger.jpg"
"AnkaBensu","https://twitter.com/AnkaBensu","[""https://pbs.twimg.com/media/ELXUsYwXYAITHH1.jpg""]","1","1575915344","İyi akşamlar 

 ankara ne kadar soguk hava yaaa ama içerisi sıcacık :) #ankaratraveﬅipic.twitter.com/HRMOXdQrLl","https://pbs.twimg.com/profile_images/1179100061524996096/RKqsXZkl_bigger.jpg"
"glamgarbagee","https://twitter.com/glamgarbagee","[]","","1575915342","Ankara ayagını denk alsın","https://pbs.twimg.com/profile_images/1203062431716646913/5TWxLoUO_bigger.jpg"
"mbkrgz","https://twitter.com/mbkrgz","[]","","1575915332","I'm at Demlik in ankara https://www.swarmapp.com/c/f8hglae6FKd ","https://pbs.twimg.com/profile_images/1172544015650250753/kJSU1Hnz_bigger.jpg"
