"username","userLink","imgUrls","likesCount","timestamp","message","avatar"
"Gitmedeseydin1","https://twitter.com/Gitmedeseydin1","[]","","1575915392","Ah istanbul İstanbul olalı hiç böyle üşütmedii çok soğuksuuun  #istanbul","https://pbs.twimg.com/profile_images/1204009715690344448/2yc4Oywi_bigger.jpg"
"normenderdegil","https://twitter.com/normenderdegil","[""https://pbs.twimg.com/media/ELXUdH6WsAABlFY.jpg""]","1","1575915383","Doktor Levent, Yunus Günce gibi kafasına vuruyordur şu an.

#ela #mucizedoktor #ali #vefa #taner #ölmez #yamaç #koçovalı #koçovalıBrothers #zalimistanbul #istanbul #günahınbedeli #günaydın #hayırlı #cumalar #sabahlar #geceler #tweet #bismillah #amin #allahpic.twitter.com/GtFF7Zzmqj","https://pbs.twimg.com/profile_images/1164498812360114176/IieteAul_bigger.jpg"
"BesiktasMEM","https://twitter.com/BesiktasMEM","[""https://pbs.twimg.com/media/ELXU1eJXYAUkUvQ.jpg""]","1","1575915383","#10Aralık 
@ziyaselcuk @OnderBakan @memleventyazici @safran1958 @hmzaydg @nesrin_kakirman @Istanbul_ILMEM @tcbesiktas_pic.twitter.com/PxeH6r8a5m","https://pbs.twimg.com/profile_images/1176765225837748224/V3UO4NLK_bigger.jpg"
"ISTANBUL2110","https://twitter.com/ISTANBUL2110","[]","","1575915370","Takipleşelim GALATASARAY lı kardeşlerim","https://pbs.twimg.com/profile_images/1202636356159254528/MJPltgPa_bigger.jpg"
"normenderdegil","https://twitter.com/normenderdegil","[""https://pbs.twimg.com/media/ELXUdH6WsAABlFY.jpg""]","1","1575915369","Doktor Levent, Yunus Günce gibi kafasına vuruyordur şu an.

#ela #mucizedoktor #ali #vefa #taner #ölmez #yamaç #koçovalı #koçovalıBrothers #zalimistanbul #istanbul #günahınbedeli #günaydın #hayırlı #cumalar #sabahlar #geceler #tweet #bismillah #amin #allah pic.twitter.com/GtFF7Zzmqj","https://pbs.twimg.com/profile_images/1164498812360114176/IieteAul_bigger.jpg"
"Newsfrom_Gr_Tr","https://twitter.com/Newsfrom_Gr_Tr","[]","1","1575915366","Gazintep merkezdir.. Gelmek isteyipte gelemeyen bir çok insan artık gelebilir. Mahrum bırakılmamak önemli. Birer sene arayla istanbul - gaziantep olabilir. bir çok şehirden katılım olacaktır. Öğrencilerin gelip görmesi şart. En önemli nokta bu","https://pbs.twimg.com/profile_images/1082661425510785025/8ulkxRwI_bigger.jpg"
"andrebankoff","https://twitter.com/andrebankoff","[]","","1575915337","Eu e você no nosso jeitinho de ser  em W Istanbul https://www.instagram.com/p/B53IMmJnlLg/?igshid=aiq1lyjhzj2c …","https://pbs.twimg.com/profile_images/1403930620/1873478-0542-atm14.jpg_bigger.jpeg"
"tedthered77","https://twitter.com/tedthered77","[]","","1575915326","01.30","https://pbs.twimg.com/profile_images/1072509788142096384/pqUPkXYn_bigger.jpg"
"SilvanusDuke","https://twitter.com/SilvanusDuke","[]","","1575915323","It was the rapid expansion and struggle for succession that lead to the split in the empire between the west with capital in Rome and the east with capital in Constantinople now Istanbul. Mind you the eastern empire collapsed before the western empire","https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png"
"hakanorcan","https://twitter.com/hakanorcan","[]","","1575915320","Bu aralar okuduğum en iyi medium gönderisi.

""The eyes of Istanbul say a lot. Eyes will always speak louder when you are a foreigner. It’s up to you to listen closely. Only then could I truly learn to speak. With my eyes.""

https://medium.com/lost-in-istanbul/the-eyes-of-istanbul-2bf525771559 …","https://pbs.twimg.com/profile_images/1188398254293209089/WO4ZTVuN_bigger.jpg"
